subject_id,timestamp,action,response,reward,outcome,trial,context
S000,2024-01-01T08:00:00,cue_morning,skip,0.0,0.433,0,habit_strength=0.17;day=0
S000,2024-01-02T08:00:00,cue_evening,skip,0.0,0.363,1,habit_strength=0.14;day=1
S000,2024-01-03T08:00:00,cue_morning,skip,0.0,0.386,2,habit_strength=0.11;day=2
S000,2024-01-04T08:00:00,cue_evening,skip,0.0,0.309,3,habit_strength=0.08;day=3
S000,2024-01-05T08:00:00,cue_morning,routine,1.0,0.421,4,habit_strength=0.16;day=4
S000,2024-01-06T08:00:00,cue_evening,routine,1.0,0.426,5,habit_strength=0.24;day=5
S000,2024-01-07T08:00:00,cue_morning,skip,0.0,0.471,6,habit_strength=0.21;day=6
S000,2024-01-08T08:00:00,cue_evening,routine,0.0,0.43,7,habit_strength=0.29;day=7
S001,2024-01-01T08:00:00,cue_morning,skip,0.0,0.44,0,habit_strength=0.17;day=0
S001,2024-01-02T08:00:00,cue_evening,routine,0.0,0.456,1,habit_strength=0.25;day=1
S001,2024-01-03T08:00:00,cue_morning,skip,0.0,0.403,2,habit_strength=0.22;day=2
S001,2024-01-04T08:00:00,cue_evening,skip,0.0,0.452,3,habit_strength=0.19;day=3
S001,2024-01-05T08:00:00,cue_morning,skip,0.0,0.377,4,habit_strength=0.16;day=4
S001,2024-01-06T08:00:00,cue_evening,routine,0.0,0.441,5,habit_strength=0.24;day=5
S001,2024-01-07T08:00:00,cue_morning,skip,0.0,0.39,6,habit_strength=0.21;day=6
S001,2024-01-08T08:00:00,cue_evening,skip,0.0,0.439,7,habit_strength=0.18;day=7
S002,2024-01-01T08:00:00,cue_morning,skip,0.0,0.354,0,habit_strength=0.17;day=0
S002,2024-01-02T08:00:00,cue_evening,routine,1.0,0.475,1,habit_strength=0.25;day=1
S002,2024-01-03T08:00:00,cue_morning,routine,0.0,0.485,2,habit_strength=0.33;day=2
S002,2024-01-04T08:00:00,cue_evening,skip,0.0,0.517,3,habit_strength=0.3;day=3
S002,2024-01-05T08:00:00,cue_morning,routine,1.0,0.574,4,habit_strength=0.38;day=4
S002,2024-01-06T08:00:00,cue_evening,routine,1.0,0.553,5,habit_strength=0.46;day=5
S002,2024-01-07T08:00:00,cue_morning,skip,0.0,0.527,6,habit_strength=0.43;day=6
S002,2024-01-08T08:00:00,cue_evening,routine,1.0,0.611,7,habit_strength=0.51;day=7
S003,2024-01-01T08:00:00,cue_morning,routine,1.0,0.51,0,habit_strength=0.28;day=0
S003,2024-01-02T08:00:00,cue_evening,routine,1.0,0.557,1,habit_strength=0.36;day=1
S003,2024-01-03T08:00:00,cue_morning,routine,1.0,0.515,2,habit_strength=0.44;day=2
S003,2024-01-04T08:00:00,cue_evening,skip,0.0,0.531,3,habit_strength=0.41;day=3
S003,2024-01-05T08:00:00,cue_morning,routine,1.0,0.607,4,habit_strength=0.49;day=4
S003,2024-01-06T08:00:00,cue_evening,routine,1.0,0.6,5,habit_strength=0.57;day=5
S003,2024-01-07T08:00:00,cue_morning,skip,0.0,0.665,6,habit_strength=0.54;day=6
S003,2024-01-08T08:00:00,cue_evening,routine,1.0,0.691,7,habit_strength=0.62;day=7
S004,2024-01-01T08:00:00,cue_morning,routine,0.0,0.514,0,habit_strength=0.28;day=0
S004,2024-01-02T08:00:00,cue_evening,skip,0.0,0.439,1,habit_strength=0.25;day=1
S004,2024-01-03T08:00:00,cue_morning,routine,1.0,0.463,2,habit_strength=0.33;day=2
S004,2024-01-04T08:00:00,cue_evening,routine,1.0,0.58,3,habit_strength=0.41;day=3
S004,2024-01-05T08:00:00,cue_morning,routine,0.0,0.636,4,habit_strength=0.49;day=4
S004,2024-01-06T08:00:00,cue_evening,skip,0.0,0.531,5,habit_strength=0.46;day=5
S004,2024-01-07T08:00:00,cue_morning,skip,0.0,0.517,6,habit_strength=0.43;day=6
S004,2024-01-08T08:00:00,cue_evening,skip,0.0,0.574,7,habit_strength=0.4;day=7
S005,2024-01-01T08:00:00,cue_morning,skip,0.0,0.392,0,habit_strength=0.17;day=0
S005,2024-01-02T08:00:00,cue_evening,routine,1.0,0.464,1,habit_strength=0.25;day=1
S005,2024-01-03T08:00:00,cue_morning,routine,1.0,0.475,2,habit_strength=0.33;day=2
S005,2024-01-04T08:00:00,cue_evening,routine,1.0,0.568,3,habit_strength=0.41;day=3
S005,2024-01-05T08:00:00,cue_morning,routine,1.0,0.593,4,habit_strength=0.49;day=4
