subject_id,timestamp,action,response,reward,outcome,trial,context
N000,2024-02-01T12:00:00,nudge_A,ignore,0.0,0.311,0,arm=nudge_A;prior_exposure=0
N000,2024-02-02T12:00:00,nudge_A,ignore,0.0,0.259,1,arm=nudge_A;prior_exposure=1
N000,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.3,2,arm=nudge_A;prior_exposure=2
N000,2024-02-04T12:00:00,nudge_A,ignore,0.0,0.241,3,arm=nudge_A;prior_exposure=3
N000,2024-02-05T12:00:00,nudge_A,comply,1.0,0.468,4,arm=nudge_A;prior_exposure=4
N001,2024-02-01T12:00:00,nudge_B,ignore,0.0,0.415,0,arm=nudge_B;prior_exposure=0
N001,2024-02-02T12:00:00,nudge_B,comply,1.0,0.622,1,arm=nudge_B;prior_exposure=1
N001,2024-02-03T12:00:00,nudge_B,ignore,0.0,0.485,2,arm=nudge_B;prior_exposure=2
N001,2024-02-04T12:00:00,nudge_B,comply,1.0,0.69,3,arm=nudge_B;prior_exposure=3
N001,2024-02-05T12:00:00,nudge_B,comply,1.0,0.671,4,arm=nudge_B;prior_exposure=4
N002,2024-02-01T12:00:00,nudge_A,ignore,0.0,0.245,0,arm=nudge_A;prior_exposure=0
N002,2024-02-02T12:00:00,nudge_A,ignore,0.0,0.286,1,arm=nudge_A;prior_exposure=1
N002,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.251,2,arm=nudge_A;prior_exposure=2
N002,2024-02-04T12:00:00,nudge_A,ignore,0.0,0.318,3,arm=nudge_A;prior_exposure=3
N002,2024-02-05T12:00:00,nudge_A,ignore,0.0,0.261,4,arm=nudge_A;prior_exposure=4
N003,2024-02-01T12:00:00,nudge_B,comply,1.0,0.684,0,arm=nudge_B;prior_exposure=0
N003,2024-02-02T12:00:00,nudge_B,comply,1.0,0.69,1,arm=nudge_B;prior_exposure=1
N003,2024-02-03T12:00:00,nudge_B,comply,1.0,0.671,2,arm=nudge_B;prior_exposure=2
N003,2024-02-04T12:00:00,nudge_B,ignore,0.0,0.482,3,arm=nudge_B;prior_exposure=3
N003,2024-02-05T12:00:00,nudge_B,comply,1.0,0.627,4,arm=nudge_B;prior_exposure=4
N004,2024-02-01T12:00:00,nudge_A,comply,1.0,0.505,0,arm=nudge_A;prior_exposure=0
N004,2024-02-02T12:00:00,nudge_A,ignore,0.0,0.326,1,arm=nudge_A;prior_exposure=1
N004,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.307,2,arm=nudge_A;prior_exposure=2
N004,2024-02-04T12:00:00,nudge_A,ignore,0.0,0.254,3,arm=nudge_A;prior_exposure=3
N004,2024-02-05T12:00:00,nudge_A,ignore,0.0,0.326,4,arm=nudge_A;prior_exposure=4
N005,2024-02-01T12:00:00,nudge_B,comply,1.0,0.626,0,arm=nudge_B;prior_exposure=0
N005,2024-02-02T12:00:00,nudge_B,comply,1.0,0.669,1,arm=nudge_B;prior_exposure=1
N005,2024-02-03T12:00:00,nudge_B,comply,1.0,0.65,2,arm=nudge_B;prior_exposure=2
N005,2024-02-04T12:00:00,nudge_B,ignore,0.0,0.445,3,arm=nudge_B;prior_exposure=3
N005,2024-02-05T12:00:00,nudge_B,comply,1.0,0.656,4,arm=nudge_B;prior_exposure=4
N006,2024-02-01T12:00:00,nudge_A,ignore,0.0,0.262,0,arm=nudge_A;prior_exposure=0
N006,2024-02-02T12:00:00,nudge_A,comply,1.0,0.521,1,arm=nudge_A;prior_exposure=1
N006,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.257,2,arm=nudge_A;prior_exposure=2
N006,2024-02-04T12:00:00,nudge_A,comply,1.0,0.505,3,arm=nudge_A;prior_exposure=3
N006,2024-02-05T12:00:00,nudge_A,comply,1.0,0.477,4,arm=nudge_A;prior_exposure=4
N007,2024-02-01T12:00:00,nudge_B,comply,1.0,0.653,0,arm=nudge_B;prior_exposure=0
N007,2024-02-02T12:00:00,nudge_B,ignore,0.0,0.421,1,arm=nudge_B;prior_exposure=1
N007,2024-02-03T12:00:00,nudge_B,comply,1.0,0.689,2,arm=nudge_B;prior_exposure=2
N007,2024-02-04T12:00:00,nudge_B,ignore,0.0,0.392,3,arm=nudge_B;prior_exposure=3
N007,2024-02-05T12:00:00,nudge_B,ignore,0.0,0.459,4,arm=nudge_B;prior_exposure=4
N008,2024-02-01T12:00:00,nudge_A,ignore,0.0,0.303,0,arm=nudge_A;prior_exposure=0
N008,2024-02-02T12:00:00,nudge_A,ignore,0.0,0.289,1,arm=nudge_A;prior_exposure=1
N008,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.25,2,arm=nudge_A;prior_exposure=2
N008,2024-02-04T12:00:00,nudge_A,comply,1.0,0.445,3,arm=nudge_A;prior_exposure=3
N008,2024-02-05T12:00:00,nudge_A,comply,1.0,0.451,4,arm=nudge_A;prior_exposure=4
N009,2024-02-01T12:00:00,nudge_B,ignore,0.0,0.444,0,arm=nudge_B;prior_exposure=0
N009,2024-02-02T12:00:00,nudge_B,ignore,0.0,0.482,1,arm=nudge_B;prior_exposure=1
N009,2024-02-03T12:00:00,nudge_B,ignore,0.0,0.395,2,arm=nudge_B;prior_exposure=2
N009,2024-02-04T12:00:00,nudge_B,ignore,0.0,0.399,3,arm=nudge_B;prior_exposure=3
N009,2024-02-05T12:00:00,nudge_B,ignore,0.0,0.474,4,arm=nudge_B;prior_exposure=4
N010,2024-02-01T12:00:00,nudge_A,ignore,0.0,0.27,0,arm=nudge_A;prior_exposure=0
N010,2024-02-02T12:00:00,nudge_A,comply,1.0,0.439,1,arm=nudge_A;prior_exposure=1
N010,2024-02-03T12:00:00,nudge_A,ignore,0.0,0.254,2,arm=nudge_A;prior_exposure=2
N010,2024-02-04T12:00:00,nudge_A,ignore,0.0,0.257,3,arm=nudge_A;prior_exposure=3
N010,2024-02-05T12:00:00,nudge_A,comply,1.0,0.46,4,arm=nudge_A;prior_exposure=4
N011,2024-02-01T12:00:00,nudge_B,ignore,0.0,0.439,0,arm=nudge_B;prior_exposure=0
N011,2024-02-02T12:00:00,nudge_B,comply,1.0,0.639,1,arm=nudge_B;prior_exposure=1
N011,2024-02-03T12:00:00,nudge_B,ignore,0.0,0.442,2,arm=nudge_B;prior_exposure=2
N011,2024-02-04T12:00:00,nudge_B,comply,1.0,0.687,3,arm=nudge_B;prior_exposure=3
N011,2024-02-05T12:00:00,nudge_B,ignore,0.0,0.413,4,arm=nudge_B;prior_exposure=4
